,Site_name,Latitude,Longitude,Type
0,Aaron Provincial Park,49.7604031,-92.6561456,Provintial _Park
1,Algonquin Provincial Park,45.8371591,-78.3791239,Provintial _Park
2,Arrowhead Provincial Park,45.3915527,-79.2146783,Provintial _Park
3,Arrow Lake Provincial Park,48.176964,-90.2272712,Provintial _Park
4,Awenda Provincial Park,44.8358315,-79.9966048,Provintial _Park
5,Balsam Lake Provincial Park,44.6359353,-78.8752853,Provintial _Park
6,Bass Lake Provincial Park,44.6023977,-79.4854253,Provintial _Park
7,Batchawana Bay Provincial Park,46.9409303,-84.5487812,Provintial _Park
8,Biscotasi Lake Provintial Park,47.3075278,-82.0086661,Provintial _Park
9,Blue Lake Provincial Park,49.9034135,-93.4726929,Provintial _Park
10,Bon Echo Provincial Park,44.8971568,-77.2091615,Provintial _Park
11,Bonnechere Provincial Park,45.6628248,-77.5708995,Provintial _Park
12,Bronte Creek Provincial Park (Day use Entrance),43.4063552,-79.771315,Provintial _Park
13,Caliper Lake Provincial Park,49.0633619,-93.9137935,Provintial _Park
14,Charleston Lake Provincial Park,44.5027778,-76.0405556,Provintial _Park
15,Chutes Provincial Park,46.224665,-82.0729189,Provintial _Park
16,Craigleith Provincial Park,44.5366712,-80.3484007,Provintial _Park
17,Darlington Provincial Park,43.8725539,-78.7787889,Provintial _Park
18,Driftwood Provincial Park,46.1859099,-77.8467883,Provintial _Park
19,Earl Rowe Provincial Park,44.1498176,-79.8970235,Provintial _Park
20,Emily Provincial Park,44.3367813,-78.5352625,Provintial _Park
21,Esker Lakes Provincial Park,48.3234798,-79.8787322,Provintial _Park
22,Fairbank Provincial Park,46.4721788,-81.439569,Provintial _Park
23,Ferris Provincial Park,44.2913461,-77.7938522,Provintial _Park
24,Finlayson Point Provincial Park,47.0546532,-79.8049881,Provintial _Park
25,Fitzroy Provincial Park,45.483054,-76.2184575,Provintial _Park
26,Forks of the Credit Provincial Park,43.8250707,-80.0041577,Provintial _Park
27,French River Provincial Park,45.899167,-80.8398541,Provintial _Park
28,Frontenac Provincial Park,44.5076716,-76.5531634,Provintial _Park
29,Fushimi Lake Provincial Park,49.8285917,-83.9171696,Provintial _Park
30,Grundy Lake Provincial Park,45.9167122,-80.5595235,Provintial _Park
31,Halfway Lake Provincial Park,46.9005885,-81.6585715,Provintial _Park
32,Inverhuron Provincial Park,44.2997333,-81.5880866,Provintial _Park
33,Ivanhoe Lake Provincial Park,48.1740302,-82.5018606,Provintial _Park
34,John E. Pearce Provincial Park,42.6088089,-81.4457522,Provintial _Park
35,Ontario Kakabeka Falls Provintial Park,48.3971359,-89.63243,Provintial _Park
36,Kap-Kig-Iwan Provincial Park,47.8006711,-79.8803462,Provintial _Park
37,Kawartha Highlands Provincial Park,44.745952,-78.2200798,Provintial _Park
38,Kettle Lakes Provincial Park,48.5692892,-80.8665532,Provintial _Park
39,Killarney Provincial Park,46.0130472,-81.4017498,Provintial _Park
40,Killbear Provincial Park,45.3586283,-80.2133284,Provintial _Park
41,Komoka Provincial Park,42.9530318,-81.3840124,Provintial _Park
42,Lady Evelyn-Smoothwater Provincial Park,47.3741999,-80.5191204,Provintial _Park
43,Lake on the Mountain Provincial Park,44.0398731,-77.0560405,Provintial _Park
44,Lake Saint Peter Provincial Park,45.3378006,-78.0226685,Provintial _Park
45,Lake Superior Provincial Park,47.7510684,-84.8359108,Provintial _Park
46,Long Point Provincial Park,42.5816644,-80.3951704,Provintial _Park
47,MacGregor Point Provincial Park,44.4139114,-81.4552656,Provintial _Park
48,MacLeod Provincial Park,49.689204,-86.8996405,Provintial _Park
49,Lady Evelyn-Smoothwater Provincial Park,47.3741999,-80.5191204,Provintial _Park
50,Mara Provincial Park,44.5875601,-79.359051,Provintial _Park
51,Mark S. Burnham Provincial Park,44.3008411,-78.2689714,Provintial _Park
52,Marten River Provincial Park,46.7331131,-79.8027455,Provintial _Park
53,McRae Point Provincial Park,44.5680571,-79.3304106,Provintial _Park
54,Mikisew Provincial Park,45.8214037,-79.5131247,Provintial _Park
55,Misery Bay Provincial Nature Reserve,45.7921839,-82.7354934,National_Park
56,Missinaibi Provincial Park,48.4045089,-83.522217,Provintial _Park
57,Mississagi Provincial Park,46.6006735,-82.6828646,Provintial _Park
58,Mono Cliffs Provincial Park,44.0477948,-80.0696976,Provintial _Park
59,Murphys Point Provincial Park,44.7818636,-76.2374716,Provintial _Park
60,Nagagamisis Provincial Park,49.5135798,-84.8070691,Provintial _Park
61,Neys Provincial Park,48.7702057,-86.5815353,Provintial _Park
62,North Beach Provincial Park,43.9577511,-77.5257968,Provintial _Park
63,Oastler Lake Provincial Park,45.3113527,-79.9643013,Provintial _Park
64,Obabika River Provincial Park,47.1406173,-80.3085149,Provintial _Park
65,Ojibway Provincial Park,49.9836396,-92.1423904,Provintial _Park
66,Ouimet Canyon Provincial Park,48.7895139,-88.6712946,Provintial _Park
67,Oxtongue River - Ragged Falls Provincial Park,45.3906707,-78.9079829,Provintial _Park
68,Pakwash Provincial Park,50.7844542,-93.4457087,Provintial _Park
69,Pancake Bay Provincial Park,46.9693434,-84.6871068,Provintial _Park
70,Petroglyphs Provincial Park,44.621559,-78.044014,Provintial _Park
71,Pigeon River Provincial Park,48.00512,-89.5952987,Provintial _Park
72,Pinery Provincial Park,43.2482354,-81.8224354,Provintial _Park
73,Point Farms Provincial Park,43.8013554,-81.700959,Provintial _Park
74,Port Bruce Provincial Park,42.6547959,-81.0130515,Provintial _Park
75,Port Burwell Provincial Park,42.6410003,-80.8106862,Provintial _Park
76,Sooke Potholes Provincial Park,48.4279465,-123.7126111,Provintial _Park
77,Presqu'ile Provincial Park,44.0098007,-77.7420364,Provintial _Park
78,Quetico Provincial Park,48.6749651,-91.1259929,Provintial _Park
79,"Rainbow Falls Provincial Park, Rossport Campground",48.843837,-87.3959376,Provintial _Park
80,René Brunelle Provincial Park,49.4546556,-82.1375324,Provintial _Park
81,Restoule Provincial Park,46.0732855,-79.7831367,Provintial _Park
82,Rideau River Provincial Park,45.0599809,-75.6707286,Provintial _Park
83,Rock Point Provincial Park,42.849149,-79.5519143,Provintial _Park
84,Rondeau Provincial Park,42.3173601,-81.8470973,Provintial _Park
85,Rushing River Provincial Park - Northwest Campground,49.6869082,-94.2239327,Provintial _Park
86,Samuel de Champlain Provincial Park,46.2839009,-78.8544047,Provintial _Park
87,Sandbanks Provincial Park,43.9070266,-77.2392234,Provintial _Park
88,Sandbar Lake Provincial Park,49.4675848,-91.545432,Provintial _Park
89,Sauble Falls Provincial Park,44.6738004,-81.2586485,Provintial _Park
90,Selkirk Provincial Park,42.8158039,-79.9578763,Provintial _Park
91,Sharbot Lake Provincial Park,44.7739149,-76.7247294,Provintial _Park
92,Sibbald Point Provincial Park,44.3219564,-79.3254315,Provintial _Park
93,Silent Lake Provincial Park,44.9231957,-78.0712131,Provintial _Park
94,Silver Falls Provincial Park,48.6884314,-89.6270378,Provintial _Park
95,Silver Lake Provincial Park,44.8320332,-76.5764677,Provintial _Park
96,Sioux Narrows Provincial Park,49.4264163,-94.0477367,Provintial _Park
97,Six Mile Lake Provintial Park,44.8888148,-79.7498284,Provintial _Park
98,Sleeping Giant Provincial Park,48.3693046,-88.804575,Provintial _Park
99,Solace Provincial Park,47.1984076,-80.6935774,Provintial _Park
100,Spanish River Provincial Park,46.7010281,-81.7288613,Provintial _Park
101,Springwater Provincial Park,44.4386085,-79.7622105,Provintial _Park
102,Sturgeon Bay Provincial Park,45.6249572,-80.4142624,Provintial _Park
103,Sturgeon River Provincial Park,46.7203163,-80.3639815,Provintial _Park
104,The Massasauga Provincial Park,45.2641219,-80.0082648,Provintial _Park
105,Tidewater Provincial Park,51.2627966,-80.6241543,Provintial _Park
106,Turkey Point Provincial Park,42.7045507,-80.334486,Provintial _Park
107,Voyageur Provincial Park,45.55831,-74.4518921,Provintial _Park
108,Wabakimi Provincial Park,50.7578861,-89.5369022,Provintial _Park
109,Wakami Lake Provincial Park,47.4816312,-82.846108,Provintial _Park
110,Wasaga Beach Provincial Park,44.5254227,-80.0166578,Provintial _Park
111,Wheatley Provincial Park,42.0886953,-82.4454857,Provintial _Park
112,White Lake Provincial Park Campground,48.6951118,-85.6460947,Provintial _Park
113,Windy Lake Provincial Park,46.6191484,-81.4461277,Provintial _Park
114,Woodland Caribou Provincial Park,51.0790067,-94.8507658,Provintial _Park
115,Thousand Islands National Park,44.4529624,-75.8608846,National_Park
116,Point Pelee National Park Of Canada,41.962772,-82.51844,National_Park
117,Georgian Bay Islands National Park,44.8743165,-79.8699554,National_Park
118,Pukaskwa National Park,48.2456784,-85.8877814,National_Park
119,Bruce Peninsula National Park,45.2288114,-81.5232556,National_Park
