,Name,Location,Census Division,Region,Type,Kind,Summary
0,Adelaide Hunter Hoodless Homestead,St. George,County of Brant,Golden Horseshoe,Museum,Historic house,"mid-19th century childhood farm home of Adelaide Hunter Hoodless, founder of the Women's Institute"
1,Agnes Etherington Art Centre,Kingston,Frontenac County,Eastern,Museum,Art,"Operated by Queen's University, includes Canadian, European, Inuit and African art, decorative arts"
2,Algonquin Provincial Park,Whitney,Nipissing District,Northeastern,Museum,Multiple,"Includes the visitor center with exhibits about the area's natural and cultural history, and a logging museum"
3,Alix Art Gallery,Sarnia,Lambton County,Southwestern,Museum,Art,"includes paintings by the Group of Seven, contemporary and historically significant Canadian visual art and visual culture"
4,Allan Macpherson House,Napanee,Lennox and Addington County,Eastern,Museum,Historic house,"c.1830 period house, Georgian architecture built by Napanee's first postmaster and a prominent local figure, operated by the Lennox and Addington Historical Society"
5,Ameliasburgh Historical Museum,Ameliasburgh,Prince Edward County,Central,Museum,Open air,Open air
6,Anderson Farm Museum,Lively,Greater Sudbury,Northeastern,Museum,Agriculture,"Operated by Greater Sudbury Heritage Museums, historic 1920s period farmhouse, barn and milk house"
7,Annandale National Historic Site,Tillsonburg,Oxford,Southwestern,Museum,Historic house,1880s Victorian house known for its lavish Aesthetic art decorations
8,Arbor Gallery,Vankleek Hill,Prescott and Russell,Eastern,Museum,Art,contemporary art centre
9,Arkona Lions Museum,Arkona,Lambton County,Southwestern,Museum,Natural history,area Devonian fossils and First Nations artifacts
10,Arnprior & District Museum,Arnprior,Renfrew County,Eastern,Museum,Local history,Local history
11,Art Gallery of Algoma,Sault Ste. Marie,Algoma District,Northeastern,Museum,Art,Visual art
12,Art Gallery of Hamilton,Hamilton,Hamilton,Golden Horseshoe,Museum,Art,Includes Canadian and European works
13,Art Gallery of Mississauga,Mississauga,Peel Region,Golden Horseshoe,Museum,Art,Emphasis on area artists and Canadian art
14,Art Gallery of Northumberland,Cobourg,Northumberland,Central,Museum,Art,Art
15,Art Gallery of Peterborough,Peterborough,Peterborough County,Central,Museum,Art,Focus is Canadian art
16,Art Gallery of Sudbury,Sudbury,Greater Sudbury,Northeastern,Museum,Art,Contemporary art
17,Art Gallery of Windsor,Windsor,Essex County,Southwestern,Museum,Art,"Significant works of art by local, regional and national artists"
18,Artcite,Windsor,Essex County,Southwestern,Museum,Art,artist-run contemporary and experimental art centre
19,Artery Gallery,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Art,curated and managed by the student Society of Fine Artists of the University of Waterloo
20,Artspace Peterborough,Peterborough,Peterborough County,Central,Museum,Art,artist-run contemporary art centre
21,Arthur Child Heritage Museum,Gananoque,Leeds and Grenville,Eastern,Museum,Multiple,"Area cultural and natural history, including 1000 Islands ecosystem, First Nations and early settlers, military and tourism exhibits, impact of the St. Lawrence River"
22,Assiginack Museum Complex,Assiginack,Manitoulin District,Northeastern,Museum,Open air,"includes the original late 19th-century town lock-up and jailer's home, pioneer home, school, blacksmith shop and driving shed, and the SS Norisle, a steam-powered automobile ferry museum ship"
23,Atikokan Centennial Museum,Atikokan,Rainy River District,Northwestern,Museum,Local history,"includes collection of logging, mining and railroad heavy equipment"
24,Atrium Gallery,Ottawa,Ottawa,Eastern,Museum,Art,"works of local and regional artists, owned and operated by the City of Ottawa"
25,Aurora Museum & Archives,Aurora,York Region,Golden Horseshoe,Museum,Local history, History and stories of the Town of Aurora
26,Aylmer & District Museum,Aylmer,Elgin County,Southwestern,Museum,Local history,Local history
27,Backus Mill Heritage and Conservation Centre,Port Rowan,Norfolk County,Southwestern,Museum,Open air,"Includes 19th century period buildings, a working historic grist mill and a nature centre"
28,Backus-Page House Museum,Wallacetown,Elgin County,Southwestern,Museum,Historic house,"Operated by the Tyrconnell Heritage Society, mid-19th century period house"
29,Bala's Museum,Bala,Muskoka,Central,Museum,Biographical,"Life of author Lucy Maud Montgomery, author of Anne of Green Gables"
30,Ball's Falls Centre for Conservation,Ball's Falls,Niagara Region,Golden Horseshoe,Museum,Natural history,"Ecology of the Niagara Escarpment Biosphere Reserve, the natural history of the Twenty Valley and its watershed, and the area's cultural history"
31,Bancroft Mineral Museum,Bancroft,Hastings County,Central,Museum,Natural history,"area gems and minerals, operated by the Bancroft Gem and Mineral Club"
32,Banting House National Historic Site,London,Middlesex County,Southwestern,Museum,Medical,"Life of Sir Frederick Banting, doctor and co-discoverer of insulin"
33,Barn Dance Historical Society Entertainment Museum,Wingham,Huron,Southwestern,Museum,Music,"located inside the North Huron Museum, history of the barn dance radio show and its country music performers, information"
34,Barnum House,Grafton,Northumberland,Central,Museum,Historic house,"19th century period house, operated by Ontario Heritage Trust"
35,Base Borden Military Museum,Borden,Simcoe County,Central,Museum,Military,"History of CFB Borden, includes planes, tanks, uniforms, weapons"
36,Bath Museum,Bath,Lennox and Addington County,Eastern,Museum,Local history,Local history
37,Battle Ground Hotel Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Historic house,1850s period hotel on land that was part of the Battle of Lundy's Lane during the War of 1812
38,Battle of the Windmill National Historic Site,Prescott,Leeds and Grenville,Eastern,Museum,Military,"60 foot stone lighthouse tower, site of the 1838 Battle of the Windmill"
39,Battlefield House,Hamilton,Hamilton,Golden Horseshoe,Museum,Historic house,1835 period house in park that was the site of the War of 1812 Battle of Stoney Creek
40,Beachville and District Museum,Beachville,Oxford County,Southwestern,Museum,Local history,"includes Victorian period room displays, agriculture equipment and vehicles"
41,Beaver River Museum,Beaverton,Durham Region,Central,Museum,History,"operated by the Beaverton Thorah Eldon Historical Society, includes mid-19th century log cabin, 1900 period house and a jail"
42,Bell Homestead National Historic Site,Brantford,County of Brant,Golden Horseshoe,Museum,Historic house,"1870s period home of Alexander Graham Bell, exhibits on his life, the invention of the telephone, and the origins of Canadian telephone operations to 1880"
43,Belleville Scout-Guide Museum,Belleville,Hastings County,Central,Museum,Scouting,open by appointment
44,Bellevue House National Historic Site,Kingston,Frontenac County,Eastern,Museum,Historic house,Late 1840s period home of Canada's first Prime Minister Sir John Alexander Macdonald
45,Benares Historic House,Mississauga,Peel Region,Golden Horseshoe,Museum,Historic house,early 20th century period house spanning four family generations
46,Bethune Memorial House National Historic Site,Gravenhurst,Muskoka,Central,Museum,Biographical,Life and achievements of Dr. Henry Norman Bethune
47,Bethune-Thompson House,Williamstown,"Stormont, Dundas and Glengarry",Eastern,Museum,Historic house,"late 18th-century house, operated by Ontario Heritage Trust"
48,Billings Estate National Historic Site,Ottawa,Ottawa,Eastern,Museum,Historic house,"1828 home of early settler, costumed guides discuss city and region's history"
49,Billy Bishop Home and Museum,Owen Sound,Grey County,Southwestern,Museum,Biographical,"Late Victorian birthplace home of WW I flying ace Billy Bishop, also features artifacts from Canadians who fought in the air during World War One and World War Two"
50,Blackwood Gallery,Mississauga,Peel Region,Golden Horseshoe,Museum,Art,"contemporary art gallery, part of University of Toronto Mississauga"
51,Blockhouse Museum,Merrickville,Leeds and Grenville,Eastern,Museum,Transportation,"history of the Rideau Canal, photos, local history exhibits, located in a historic blockhouse, operated by the Merrickville and District Historical Society"
52,Bobby Orr Hall of Fame,Parry Sound,Parry Sound District,Northeastern,Museum,Sports,"Ice hockey history and memorabilia of Bobby Orr, located in the Charles W. Stockey Centre for the Performing Arts"
53,Bonnechere Museum,Bonnechere,Renfrew County,Eastern,Museum,Multiple,"local history, culture and natural history, including area Ordovician fossils, geology, First Nations artifacts, fur trade, timber industry"
54,Bothwell-Zone Oil Museum,Bothwell,Chatham-Kent,Southwestern,Museum,Industry,"oil industry powerhouse and equipment, operated by the Bothwell-Zone & District Historical Society"
55,Bowmanville Museum,Bowmanville,Durham Region,Central,Museum,Historic house,"1900-1930 period home reflecting the lifestyle of a wealthy merchant family, operated by the Clarington Museums"
56,Boyd Heritage Museum,Bobcaygeon,Kawartha Lakes,Central,Museum,Local history,Local history
57,Bradley Museum,Mississauga,Peel Region,Golden Horseshoe,Museum,Local history,Local history
58,Brant Museum and Archives,Brantford,County of Brant,Golden Horseshoe,Museum,Local history,"operated by the Brant Historical Society, period room and business displays"
59,Brantford and Area Sports Hall of Recognition,Brantford,County of Brant,Golden Horseshoe,Museum,Sports,"photographs and memorabilia of area sports figures, including Wayne Gretzky"
60,Brocksden Country School Museum,Stratford,Perth County,Southwestern,Museum,Education,"19th century schoolhouse, open by appointment"
61,Brockville Museum,Brockville,Leeds and Grenville,Eastern,Museum,Local history,Local history
62,Brubacher House,Waterloo,Waterloo Region,Golden Horseshoe,Museum,Historic house,"operated by the Conrad Grebel University College and the Mennonite Historical Society of Ontario, restored mid-19th century Pennsylvania German farmstead"
63,Bruce County Museum and Cultural Centre,Southampton,Bruce County,Southwestern,Museum,Multiple,"exhibits include local history, natural history, maritime, First Nations, agriculture, maritime, military and culture"
64,Bruce Mines Museum,Bruce Mines,Algoma District,Northeastern,Museum,Local history,Local history
65,Bunker Military Museum,Cobalt,Timiskaming District,Northeastern,Museum,Military,includes artifacts from the Boer War to the present day
66,Burlington Art Centre,Burlington,Halton Region,Golden Horseshoe,Museum,Art,"Contemporary art centre, focus on visual art and crafts"
67,Buxton National Historic Site and Museum,North Buxton,Chatham-Kent,Southwestern,Museum,History,Historic buildings in Underground Railroad community
68,Bygone Days Heritage Village,Collingwood,Simcoe County,Central,Museum,Open air,mid 19th-century village buildings with authentic furnishings and artifacts
69,Bytown Museum,Ottawa,Ottawa,Eastern,Museum,History,City's early history and building of the Rideau Canal
70,Caledonia Grand Trunk Station,Caledonia,Haldimand County,Golden Horseshoe,Museum,Railway,"Features local railway artifacts, displays and an operating ""G"" scale model train"
71,Callander Bay Heritage Museum,Callander,Parry Sound District,Northeastern,Museum,Multiple,"located in the home of Dr. Allan Roy Dafoe, who delivered and cared for the Dionne quintuplets; includes period doctor's office and dispensary displays, the Dionne quintuplets, a barber shop, period rooms, area logging and maritime history, and the Alex Dufresne Gallery of art"
72,Cambridge Butterfly Conservatory,Cambridge,Waterloo Region,Golden Horseshoe,Museum,Natural history,"butterfly conservatory with live butterflies, birds, plants and natural history exhibits"
73,Cambridge Centre for the Arts,Cambridge,Waterloo Region,Golden Horseshoe,Museum,Art,includes an art gallery
74,Cambridge Galleries,Cambridge,Waterloo Region,Golden Horseshoe,Museum,Art,"part of the Cambridge Public Library system with exhibition space at Queen's Square, Preston and Design at Riverside"
75,Cambridge Sculpture Garden,Cambridge,Waterloo Region,Golden Horseshoe,Museum,Art,outdoor sculpture garden
76,Cameron Highlanders of Ottawa Museum,Ottawa,Ottawa,Eastern,Museum,Military,"Regimental history and artefacts, located in Cartier Square Drill Hall"
77,Campbellford Memorial Military Museum,Campbellford,Northumberland,Central,Museum,Military,Military
78,Canada Agriculture Museum,Ottawa,Ottawa,Eastern,Museum,Agriculture,"Demonstration farm with live animals, tractors exhibit"
79,Canada Aviation Museum,Ottawa,Ottawa,Eastern,Museum,Aerospace,"History of Canadian aviation, includes civilian and military aircraft"
80,Canada Science and Technology Museum,Ottawa,Ottawa,Eastern,Museum,Science,"Exhibits include Canadian inventors and inventions, communications, digital networks, space exploration, railroads, canoes"
81,Canada South Science City,Windsor,Essex County,Southwestern,Museum,Science,Open to the public on weekends and summer
82,Canada's First Forestry Station,St. Williams,Norfolk County,Southwestern,Museum,Forestry,efforts to plant the area's forests
83,Canadian Automotive Museum,Oshawa,Durham Region,Central,Museum,Automobile,"Features mostly Canadian-made cars, automotive history in Canada"
84,Canadian Baseball Hall of Fame,St. Marys,Perth County,Southwestern,Museum,Sports,"Great players, teams, and accomplishments of baseball in Canada"
85,Canadian Bushplane Heritage Centre,Sault Ste. Marie,Algoma District,Northeastern,Museum,Aviation,History of bush flying and forest protection in Canada
86,Canadian Canoe Museum,Peterborough,Peterborough County,Central,Museum,Maritime,Canoe collection and how the canoe defines the Canadian character and spirit
87,Canadian Clay and Glass Gallery,Waterloo,Waterloo Region,Golden Horseshoe,Museum,Art,"Historic and contemporary Canadian ceramic, glass and enamel art"
88,Canadian Clock Museum,Deep River,Renfrew County,Eastern,Museum,Horology,heritage of Canada's many clock manufacturers and sellers from the early 19th century to the present
89,Canadian Drilling Rig Museum,Rainham Centre,Haldimand County,Golden Horseshoe,Museum,Industry,"history of the early natural gas fields of Haldimand, Norfolk and Southern Ontario"
90,Canadian Firefighters Museum,Port Hope,Northumberland,Central,Museum,Firefighting,"includes vehicles, fire hydrants, working municipal fire alarm system, photo displays, helmets, turnout gear and tools of the trade"
91,Canadian Football Hall of Fame,Hamilton,Hamilton,Golden Horseshoe,Museum,Sports,Great achievements in Canadian football
92,Canadian Forces Museum of Aerospace Defense,North Bay,Nipissing District,Northeastern,Museum,Military,"evolution of air defence and the contributions Canadians have made, includes NORAD exhibit, located at CFB North Bay"
93,Canadian Golf Hall of Fame,Oakville,Halton Region,Golden Horseshoe,Museum,Sports,Canada's golf heritage
94,Canadian Medical Hall of Fame,London,Middlesex County,Southwestern,Museum,Medical,Honors Canadians who have contributed to the understanding of disease and improving the health of people
95,Canadian Military Heritage Museum,Brantford,County of Brant,Golden Horseshoe,Museum,Military,"includes weapons, uniforms, medals, models, artifacts"
96,Canadian Museum of Hindu Civilization,Richmond Hill,York Region,Golden Horseshoe,Museum,Religious,essence of Hinduism in North America
97,Canadian Museum of Nature,Ottawa,Ottawa,Eastern,Museum,Natural history,"Galleries include fossils and dinosaurs, Canadian mammals and birds, water, rocks and minerals"
98,Canadian Soccer Hall of Fame,Vaughan,York Region,Golden Horseshoe,Museum,Sports,Achievements of top Canadian Footballers and Builders who have played and developed the game in Canada
99,Canadian Transportation Museum & Heritage Village,Kingsville,Essex County,Southwestern,Museum,Multiple,"includes village with late over 20 heritage buildings from the 18th century up to the late 1920s, and the museum with antique, vintage and hot rod cars and trucks"
100,Canadian War Museum,Ottawa,Ottawa,Eastern,Museum,Military,"Canada's military history, includes vehicles, weapons, uniforms, art, artillery, memorabilia"
101,Canadian Warplane Heritage Museum,Hamilton,Hamilton,Golden Horseshoe,Museum,Aerospace,Military aircraft
102,Cannington Historical Museum,Cannington,Durham Region,Central,Museum,Open air,"includes two log houses, a railway station and caboose, a meeting hall, a driving shed"
103,Carleton Place and Beckwith Heritage Museum,Carleton Place,Lanark County,Eastern,Museum,Local history,"local history, culture"
104,Carleton University Art Gallery,Ottawa,Ottawa,Eastern,Museum,Art,part of Carleton University
105,Carman House Museum,Iroquois,"Stormont, Dundas and Glengarry",Eastern,Museum,Living,1835 period Loyalist house
106,Castle Kilbride,Baden,Waterloo Region,Golden Horseshoe,Museum,Historic house,Late 19th century Victorian house
107,Centennial Museum of Sheguiandah,Sheguiandah,Manitoulin District,Northeastern,Museum,Local history,Local history
108,Centennial Park,Thunder Bay,Thunder Bay District,Northwestern,Museum,Forestry,"Features a museum and recreation of a 1910 logging camp, including train"
109,Central Manatoulin Pioneer Museum,Mindemoya,Manitoulin District,Northeastern,Museum,History,"operated by the Central Manitoulin Historical Society, includes a log home, blacksmith shop, barn and equipment, milk processing and butter making equipment, ice harvesting tools"
110,Centrepointe Theatre Gallery,Ottawa,Ottawa,Eastern,Museum,Art,"Works of local and regional artists, operated by the City of Ottawa"
111,CFB Petawawa Military Museums,Petawawa,Renfrew County,Eastern,Museum,Military,"complex includes the Canadian Airborne Forces Museum about the history of The Canadian Airborne Regiment, and the CFB Petawawa Military Museum with exhibits about the history of CFB Petawawa"
112,Champlain Trail Museum and Pioneer Village,Pembroke,Renfrew County,Eastern,Museum,Open air,operated by the Ottawa Valley Historical Society
113,Chapleau Centennial Museum,Chapleau,Sudbury District,Northeastern,Museum,Local history,Local history
114,Chapple Museum,Chapple,Rainy River District,Northwestern,Museum,Local history,Local history
115,Chatham Railroad Museum,Chatham–Kent,Chatham-Kent,Southwestern,Museum,Railroad,"early railroad equipment, located in a baggage car"
116,Chatham-Kent Black Historical Society,Chatham-Kent,Chatham-Kent,Southwestern,Museum,African American,W.I.S.H. Centre features exhibits about area black history and historic sites
117,Chatham-Kent Museum,Chatham-Kent,Chatham-Kent,Southwestern,Museum,History,local history
118,Chesley Heritage & Woodworking Museum,Chesley,Bruce County,Southwestern,Museum,History,local history and area woodworking industry
119,Chesterville & District Heritage Centre,Chesterville,"Stormont, Dundas and Glengarry",Eastern,Museum,History,local history
120,Chiefswood National Historic Site,Ohsweken,County of Brant,Golden Horseshoe,Museum,Historic house,"mid-19th century birthplace home of Pauline Johnson, a First Nations author and performer"
121,Christ Church Community Museum,Lakefield,Peterborough County,Central,Museum,History,local history
122,City of Ottawa Art Galleries,Ottawa,Ottawa,Eastern,Museum,Art,"art galleries owned and operated by the City of Ottawa, includes ASP, Barbara Ann Scott, Centrepointe Theatre, City Hall, Gallery 112, Karsh-Masson, Studio and Trinity galleries"
123,Clark House,Powassan,Parry Sound District,Northeastern,Museum,Historic house,operated by the Powassan and Area Historical Society
124,Clarke Museum,Kirby,Durham Region,Central,Museum,History,"operated by the Clarington Museums, includes local history displays, one room schoolhouse, blacksmith shop, agricultural equipment"
125,Cloyne & District Historical Society Pioneer Museum,Cloyne,Lennox and Addington County,Eastern,Museum,History,"historic artifacts including tools, clothing, kitchen and other household effects"
126,Cobalt Firefighters Museum,Cobalt,Timiskaming District,Northeastern,Museum,Firefighting,Firefighting
127,Cobalt Mining Museum,Cobalt,Timiskaming District,Northeastern,Museum,Mining,silver mining
128,Cochrane Railway and Pioneer Museum,Cochrane,Cochrane District,Northeastern,Museum,Railway,"include railroad, local history and Tim Horton exhibits"
129,Coldwater Canadiana Heritage Museum,Coldwater,Simcoe County,Central,Museum,Open air,"includes 1830s log cabin homestead with historic furnishings and household items, replica general store and post office, display barn, blacksmith shop, print shop, carriage house, slaughter house"
130,Collingwood Museum,Collingwood,Simcoe County,Central,Museum,History,"local history including early pioneer life, local settlers, traditional logging practices and pioneer settlement"
131,Comber & District Historical Society Museum,Lakeshore,Essex County,Southwestern,Museum,History,local history
132,Commanda General Store Museum,Commanda,Parry Sound District,Northeastern,Museum,History,"1885 High Victorian store with counters, flooring and goods from 1885–1934[1]"
133,Copper Cliff Museum,Copper Cliff,Greater Sudbury,Northeastern,Museum,Historic house,"Operated by Greater Sudbury Heritage Museums, turn-of-the-20th-century log cabin mining family home"
134,Cornwall Community Museum,Cornwall,"Stormont, Dundas and Glengarry",Eastern,Museum,History,local history
135,Correctional Service of Canada MuseumCanada's Penitentiary Museum,Kingston,Frontenac County,Eastern,Museum,Prison,"History of Kingston Penitentiary and other correctional centres (), history of Canada's penitentiary system"
136,Cottonwood Mansion,Selkirk,Haldimand County,Golden Horseshoe,Museum,Historic house,late 19th century Victorian mansion
137,Country Heritage Park,Milton,Halton Region,Golden Horseshoe,Museum,Agriculture,"Formerly the Ontario Agricultural Museum, over 30 buildings depict agriculture and rural life over 170 years"
138,Craigleith Heritage Depot,Blue Mountains,Grey County,Central,Museum,History,local history and information centre
139,Crawford Lake Conservation Area,Campbellville,Halton Region,Golden Horseshoe,Museum,First Nations,Features reconstructed 15th century Iroquoian village and interpretive programs
140,Criminals Hall of Fame,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Wax,"Wax figures of notorious criminals, from mobsters to serial killers"
141,Crull Rock Collection,Balmertown,Kenora District,Northwestern,Museum,Natural history,"display of rocks and mineral specimens from around the world including local gold samples, located in the municipal office, part of the Red Lake Museum collection"
142,Cumberland Heritage Village,Cumberland,Ottawa,Eastern,Museum,Living,1920-1930s rural village
143,Currency Museum,Ottawa,Ottawa,Eastern,Museum,Numismatic,"Operated by the Bank of Canada, features the National Currency Collection"
144,Delhi Tobacco Museum and Heritage Centre,Delhi,Norfolk County,Southwestern,Museum,Local history,includes the agricultural and cultural development of the area
145,Diefenbunker Museum,Carp,Ottawa,Eastern,Museum,Military,Cold War bunker for the Canadian government
146,Dionne Quints Museum,North Bay,Nipissing District,Northeastern,Museum,Biographical,Birthplace and childhood home of the Dionne quintuplets
147,Discovery North Bay,North Bay,Nipissing District,Northeastern,Museum,History,"formerly the North Bay Area Museum, local history"
148,Discovery Harbour,Penetanguishene,Simcoe County,Central,Museum,Open air,"recreated 19th century community with replica ships and smaller vessels, historic buildings, and an original officers' quarters"
149,Discovery House Museum,Sarnia,Lambton County,Southwestern,Museum,History,local history
150,Donald Hughes Annex Museum,Ailsa Craig,Middlesex County,Southwestern,Museum,Local history,operated by the North Middlesex Historical Society
151,Doon Heritage Village,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Living,1914 rural life
152,Dorothy’s House Museum,Port Hope,Northumberland,Central,Museum,Historic house,"operated by the East Durham Historical Society, 19th century Victorian worker's cottage, open seasonally"
153,Dorset Heritage Museum,Dorset,Muskoka,Central,Museum,History,"local history including early pioneer life, local settlers, traditional logging practices and pioneer settlement"
154,Dryden & District Museum,Dryden,Kenora District,Northwestern,Museum,Local history,Local history
155,Dufferin County Museum and Archives,Rosemont,Simcoe County,Central,Museum,Multiple,"local history exhibits, reconstructed 1918 pioneer home, art exhibits, collectibles"
156,Duke Hunt Museum,Thunder Bay,Thunder Bay District,Northwestern,Museum,History,"originally known as the Paipoonge Museum, located in Oliver Paipoonge, early settler household artifacts, community life"
157,Dundas Museum,Dundas,Hamilton,Golden Horseshoe,Museum,History,local history
158,Dundurn Castle,Hamilton,Hamilton,Golden Horseshoe,Museum,Historic house,"40 room 19th century estate of Sir Allan Napier MacNab, one of Canada's first premiers; grounds include Hamilton Military Museum"
159,Durham Art Gallery,Durham,Grey County,Southwestern,Museum,Art,Art
160,Dynamic Earth,Sudbury,Greater Sudbury,Northeastern,Museum,Mining,Geology and mining for nickel and gold
161,Ear Falls Museum,Ear Falls,Kenora District,Northwestern,Museum,Local history,"area's aboriginal peoples, gold mining and lumbering industries and transportation"
162,Edinburgh Square Heritage and Cultural Centre,Cayuga,Haldimand County,Golden Horseshoe,Museum,Local history,Includes original 1857 jail cell and gypsum mining exhibits
163,Edison Museum (Ontario),Vienna,Elgin County,Southwestern,Museum,Biographical,"home on land of Thomas Edison's parents former home, features Edison authentic artifacts and furniture"
164,Eldon House,London,Middlesex County,Southwestern,Museum,Historic house,19th century period mansion and gardens
165,Elgin County Museum,St. Thomas,Elgin County,Southwestern,Museum,Local history,Local history
166,Elgin County Railway Museum,St. Thomas,Elgin County,Southwestern,Museum,Railway,"Railroad engines, cars and equipment, located in 1913 former Michigan Central Railroad locomotive shops"
167,Elgin Military Museum,St. Thomas,Elgin County,Southwestern,Museum,Military,Canadian military history of Elgin County and its residents
168,Elliot Lake Nuclear and Mining Museum,Elliot Lake,Algoma District,Northeastern,Museum,Mining,"area's uranium mining history including the Canadian Mining Hall of Fame, also nuclear power, minerals, local history, logging, wildlife, marine artifacts"
169,Elman W. Campbell Museum,Newmarket,York Region,Central,Museum,Local history,Local history
170,Englehart & Area Museum,Englehart,Timiskaming District,Northeastern,Museum,Local history,also art exhibits
171,Erland Lee Museum,Stoney Creek,Hamilton,Golden Horseshoe,Museum,Historic house,"Late 19th century period Victorian home, recognized as the birthplace of the first Women's Institutes"
172,Ermatinger-Clergue National Historic Site,Sault Ste. Marie,Algoma District,Northeastern,Museum,Historic house,"19th century period house and summer kitchen, and turn-of-the-20th-century blockhouse and gardens"
173,Essex County Steam & Gas Engine Museum,McGregor,Essex County,Southwestern,Museum,Agriculture,"antique engines, tractors and farm machinery"
174,Eva Brook Donly Museum,Simcoe,Norfolk County,Southwestern,Museum,Historic house,"Victorian period house, also gallery of local art and history"
175,Fairfield Museum (Ontario),Thamesville,Chatham-Kent,Southwestern,Museum,Local history,Local history
176,Fairfield-Gutzeit House,Bath,Lennox and Addington County,Eastern,Museum,Historic house,Victorian period house
177,Fanshawe Pioneer Village,London,Middlesex County,Southwestern,Museum,Living,"19th century village with over 30 original and replica buildings on 46 acres (190,000 m2)"
178,Farmtown Park,Stirling,Hastings County,Central,Museum,Agriculture,"previously known as Hastings County Museum of Agricultural Heritage, includes cheese factory, barn display, farm machinery, steam engines and tractors, and an indoor 1930s-1940s heritage village display with period stores"
179,Fashion History Museum,Cambridge,Waterloo Region,Golden Horseshoe,Museum,Theme Collections,"10,000 historical garments and accessories dating from the mid 18th century to the present "
180,Fieldcote Memorial Park & Museum,Ancaster,Hamilton,Golden Horseshoe,Museum,Multiple,local history and art exhibits
181,First Hussars Museum,London,Middlesex County,Southwestern,Museum,Military,"artifacts and memorabilia of the 1st Hussars, open by appointment"
182,Flour Mill Museum,Sudbury,Greater Sudbury,Northeastern,Museum,Historic house,"Operated by Greater Sudbury Heritage Museums, early 20th-century house and log cabin"
183,Forest City Gallery,London,Middlesex County,Southwestern,Museum,Art,"artist-run centre for contemporary practices in visual/media arts, performance, literature and music"
184,Forest-Lambton Museum,Forest,Lambton County,Southwestern,Museum,Local history,"1890s period rooms, local history, natural history, military and doll displays"
185,Fort Erie,Fort Erie,Niagara Region,Golden Horseshoe,Museum,Military,Restored War of 1812 period fort
